Category,Subcategory,price
Extras,Syrup,0.45
Frappés,Chocolate Frappé,3.35
Fruit Infusions,Lemon & Ginger,1.99
Fruit Smoothies,Berry Blast,3.35
Iced Coffee,Iced Americano,2.2
Organic Coffee,Americano,2.3
Organic Tea,Earl Grey,1.99
Other Beverages,Chai Latte,2.65
Extras,Extra Shot,0.45
Frappés,Classic Frappé,3.35
Fruit Infusions,Raspberry & Pomegranate,1.99
Fruit Smoothies,Strawberry & Banana,3.35
Iced Coffee,Iced Latte,2.65
Organic Coffee,Latte,2.65
Organic Tea,English Breakfast,1.99
Other Beverages,Hot Chocolate,2.65
Fruit Smoothies,Mango & Raspberry,3.35
Organic Coffee,Cappuccino,2.65
Organic Tea,Peppermint,1.99
Other Beverages,Matcha Latte,2.65
Organic Coffee,Espresso,1.75
Organic Tea,Tropical Green Tea,1.99
Other Beverages,Miso Soup,1.6
Organic Coffee,Filter Coffee,0.99
Other Beverages,Tumeric Latte,2.65
Organic Coffee,Flat White,2.65
Organic Coffee,Mocha,2.65
Organic Coffee,Macchiato,1.75
